stage,kind,query,reason,url_or_doi,date
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.12821/ijispm120404,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.48084/etasr.14111,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.34306/ajri.v6i1.1100,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.7862/rz.2024.mmr.05,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.13167/2025.30.5,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.15587/1729-4061.2024.303526,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.47738/jads.v6i1.473,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.21608/astj.2025.345552.1030,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.37676/ekombis.v13i3.7335,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.2139/ssrn.5408884,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.65136/ejbm.v9i1.60,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.47672/ijpm.2606,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.47205/plhr.2023(7-iii)57,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.38193/ijrcms.2025.7224,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.1080/15623599.2026.2696347,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.51594/ijmer.v6i1.727,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.29303/jppipa.v10i4.6887,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.4038/faruj.v11i2.321,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.37547/tajet/volume07issue04-20,2026-08-16
05实施控制,paper,"""integrated change control"" project",title_abstract_not_on_topic,10.31224/4331,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.63282/3050-9262.ijaidsml-v7i2p118,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.2139/ssrn.7102848,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.1145/3769300,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.1101/2024.03.01.583000,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.20944/preprints202312.0957.v1,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.48550/arxiv.2608.08043,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.71097/ijsat.v17.i2.11319,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,Sustained Impact of Agentic Personalisation in Marketing: A Longitudinal Case Study,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,Hierarchical Online Prompt Mutation with Dual-Loop Feedback for Guardrailed Evidence Document Generation: A Production-Evaluation Case Study,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,Hierarchical Causal Uplift Modeling in Overlapping Customer Journeys,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.52783/jisem.v11i1s.14239,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.60087/jaigs.v8i02.424,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.56578/jimd050102,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.48550/arxiv.2308.05381,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,10.48550/arxiv.2406.09567,2026-08-16
05实施控制,paper,"""online controlled experiment"" holdout",title_abstract_not_on_topic,Flexible Inference for Winners with Conditional Validity,2026-08-16
05实施控制,paper,"""holdout group"" A/B testing experiment",title_abstract_not_on_topic,10.48550/arxiv.2402.06831,2026-08-16
05实施控制,paper,"""holdout group"" A/B testing experiment",title_abstract_not_on_topic,10.1103/physrevmaterials.7.113606,2026-08-16
